Era,Feature,Base,Lag,r,p,sig,n,target
Pre-ZLB,finbert_QA_MP_mean:lag8,finbert_QA_MP_mean,8,0.2755,0.1269,,32,MRO_diff
Pre-ZLB,finbert_QA_MP_mean:lag9,finbert_QA_MP_mean,9,-0.1617,0.3767,,32,MRO_diff
Pre-ZLB,finbert_QA_MP_mean:lag10,finbert_QA_MP_mean,10,0.0698,0.7041,,32,MRO_diff
Pre-ZLB,finbert_QA_MP_mean:lag11,finbert_QA_MP_mean,11,0.0352,0.8533,,30,MRO_diff
Pre-ZLB,finbert_QA_MP_mean:lag12,finbert_QA_MP_mean,12,0.0161,0.9341,,29,MRO_diff
Pre-ZLB,finbert_QA_MP_mean:lag13,finbert_QA_MP_mean,13,0.0069,0.9706,,31,MRO_diff
Pre-ZLB,finbert_QA_MP_mean:lag14,finbert_QA_MP_mean,14,-0.0764,0.6935,,29,MRO_diff
Pre-ZLB,finbert_QA_MP_mean:lag15,finbert_QA_MP_mean,15,-0.1685,0.4007,,27,MRO_diff
ZLB,finbert_max,finbert_max,0,0.0565,0.5824,,97,shadow_diff
ZLB,finbert_IS_max,finbert_IS_max,0,0.1081,0.2919,,97,shadow_diff
ZLB,roberta_IS_max,roberta_IS_max,0,0.0834,0.4168,,97,shadow_diff
ZLB,finbert_MP_mean,finbert_MP_mean,0,0.0798,0.4373,,97,shadow_diff
ZLB,roberta_IS_EP_max,roberta_IS_EP_max,0,0.0805,0.4333,,97,shadow_diff
ZLB,finbert_QA_MP_mean,finbert_QA_MP_mean,0,0.076,0.4591,,97,shadow_diff
ZLB,finbert_max:lag1,finbert_max,1,-0.0141,0.8907,,97,shadow_diff
ZLB,finbert_max:lag2,finbert_max,2,-0.18,0.0776,,97,shadow_diff
ZLB,finbert_max:lag3,finbert_max,3,-0.1669,0.1022,,97,shadow_diff
ZLB,finbert_max:lag4,finbert_max,4,0.0885,0.3889,,97,shadow_diff
ZLB,finbert_max:lag5,finbert_max,5,-0.0637,0.5354,,97,shadow_diff
ZLB,finbert_max:lag6,finbert_max,6,-0.1403,0.1704,,97,shadow_diff
ZLB,finbert_max:lag7,finbert_max,7,-0.1581,0.1218,,97,shadow_diff
ZLB,finbert_max:lag8,finbert_max,8,-0.4173,0.0,***,97,shadow_diff
ZLB,finbert_max:lag9,finbert_max,9,0.0269,0.7934,,97,shadow_diff
ZLB,finbert_max:lag10,finbert_max,10,-0.0927,0.3665,,97,shadow_diff
ZLB,finbert_max:lag11,finbert_max,11,0.0782,0.4462,,97,shadow_diff
ZLB,finbert_max:lag12,finbert_max,12,-0.1096,0.2851,,97,shadow_diff
ZLB,finbert_max:lag13,finbert_max,13,0.0178,0.863,,97,shadow_diff
ZLB,finbert_max:lag14,finbert_max,14,-0.1736,0.0891,,97,shadow_diff
ZLB,finbert_max:lag15,finbert_max,15,-0.0574,0.5767,,97,shadow_diff
ZLB,finbert_IS_max:lag1,finbert_IS_max,1,-0.004,0.9693,,97,shadow_diff
ZLB,finbert_IS_max:lag2,finbert_IS_max,2,-0.1829,0.0729,,97,shadow_diff
ZLB,finbert_IS_max:lag3,finbert_IS_max,3,-0.1726,0.0909,,97,shadow_diff
ZLB,finbert_IS_max:lag4,finbert_IS_max,4,0.0932,0.3639,,97,shadow_diff
ZLB,finbert_IS_max:lag5,finbert_IS_max,5,-0.0285,0.7821,,97,shadow_diff
ZLB,finbert_IS_max:lag6,finbert_IS_max,6,-0.1861,0.0679,,97,shadow_diff
ZLB,finbert_IS_max:lag7,finbert_IS_max,7,-0.1407,0.1692,,97,shadow_diff
ZLB,finbert_IS_max:lag8,finbert_IS_max,8,-0.4957,0.0,***,97,shadow_diff
ZLB,finbert_IS_max:lag9,finbert_IS_max,9,0.0171,0.8683,,97,shadow_diff
ZLB,finbert_IS_max:lag10,finbert_IS_max,10,-0.0504,0.6237,,97,shadow_diff
ZLB,finbert_IS_max:lag11,finbert_IS_max,11,0.0155,0.8798,,97,shadow_diff
ZLB,finbert_IS_max:lag12,finbert_IS_max,12,-0.0624,0.5438,,97,shadow_diff
ZLB,finbert_IS_max:lag13,finbert_IS_max,13,-0.0283,0.7835,,97,shadow_diff
ZLB,finbert_IS_max:lag14,finbert_IS_max,14,-0.171,0.0941,,97,shadow_diff
ZLB,finbert_IS_max:lag15,finbert_IS_max,15,-0.0538,0.6005,,97,shadow_diff
ZLB,roberta_IS_max:lag1,roberta_IS_max,1,0.0,0.9999,,97,shadow_diff
ZLB,roberta_IS_max:lag2,roberta_IS_max,2,0.0029,0.9775,,97,shadow_diff
ZLB,roberta_IS_max:lag3,roberta_IS_max,3,-0.0032,0.9754,,97,shadow_diff
ZLB,roberta_IS_max:lag4,roberta_IS_max,4,0.1205,0.2398,,97,shadow_diff
ZLB,roberta_IS_max:lag5,roberta_IS_max,5,-0.0248,0.8092,,97,shadow_diff
ZLB,roberta_IS_max:lag6,roberta_IS_max,6,-0.1231,0.2296,,97,shadow_diff
ZLB,roberta_IS_max:lag7,roberta_IS_max,7,0.0268,0.7944,,97,shadow_diff
ZLB,roberta_IS_max:lag8,roberta_IS_max,8,-0.1813,0.0755,,97,shadow_diff
ZLB,roberta_IS_max:lag9,roberta_IS_max,9,0.1383,0.1766,,97,shadow_diff
ZLB,roberta_IS_max:lag10,roberta_IS_max,10,0.1019,0.3207,,97,shadow_diff
ZLB,roberta_IS_max:lag11,roberta_IS_max,11,0.0746,0.4679,,97,shadow_diff
ZLB,roberta_IS_max:lag12,roberta_IS_max,12,0.1456,0.1547,,97,shadow_diff
ZLB,roberta_IS_max:lag13,roberta_IS_max,13,0.0523,0.6108,,97,shadow_diff
ZLB,roberta_IS_max:lag14,roberta_IS_max,14,0.0776,0.4498,,97,shadow_diff
ZLB,roberta_IS_max:lag15,roberta_IS_max,15,0.1026,0.3174,,97,shadow_diff
ZLB,finbert_MP_mean:lag1,finbert_MP_mean,1,-0.0039,0.9701,,97,shadow_diff
ZLB,finbert_MP_mean:lag2,finbert_MP_mean,2,0.0614,0.5499,,97,shadow_diff
ZLB,finbert_MP_mean:lag3,finbert_MP_mean,3,-0.0518,0.614,,97,shadow_diff
